Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,54.5,..,..,..
Afghanistan,AFG,"""Income share held by lowest 20%""",SI.DST.FRST.20,..,..,..,..,..
Afghanistan,AFG,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,63.377,63.763,64.13,64.486,..
Afghanistan,AFG,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,70.4,67.5,64.7,62.3,..
Afghanistan,AFG,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,63,64,64,64,..
Afghanistan,AFG,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,578.4663529,547.2281102,556.3021385,520.8966027,..
Afghanistan,AFG,"""International tourism, number of arrivals""",ST.INT.ARVL,..,..,..,..,..
Afghanistan,AFG,"""International tourism, number of departures""",ST.INT.DPRT,..,..,..,..,..
Afghanistan,AFG,"""Population density (people per sq. km of land area)""",EN.POP.DNST,52.7120715,54.19711424,55.59599302,56.93776001,..
Afghanistan,AFG,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,3723543,3817241,3913297,4011770,..
Afghanistan,AFG,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,7538168,7640138,7732365,7814407,..
Afghanistan,AFG,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,7905639,8024702,8122796,8203224,..
Afghanistan,AFG,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,8730445,9076555,9413927,9749139,..
Afghanistan,AFG,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,9386355,9750140,10100250,10444774,..
Afghanistan,AFG,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,394172,412203,429088,445283,..
Afghanistan,AFG,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,458824,479390,497974,515559,..
Afghanistan,AFG,"""Population, female""",SP.POP.TOTL.FE.IN,16727437,17196083,17644266,18079105,..
Afghanistan,AFG,"""Population, male""",SP.POP.TOTL.MA.IN,17686166,18187045,18652134,19093281,..
Afghanistan,AFG,"""Population, total""",SP.POP.TOTL,34413603,35383128,36296400,37172386,..
Albania,ALB,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
Albania,ALB,"""Income share held by lowest 20%""",SI.DST.FRST.20,7.7,7.3,7.5,..,..
Albania,ALB,"""Life expectancy at birth, total (years)""",SP.DYN.LE00.IN,78.025,78.194,78.333,78.458,..
Albania,ALB,"""Mortality rate, under-5 (per 1,000 live births)""",SH.DYN.MORT,9.6,9.3,9,8.8,..
Albania,ALB,"""Immunization, measles (% of children ages 12-23 months)""",SH.IMM.MEAS,97,96,96,94,..
Albania,ALB,"""GDP per capita (current US$)""",NY.GDP.PCAP.CD,3952.829458,4124.108907,4532.890162,5268.848504,..
Albania,ALB,"""International tourism, number of arrivals""",ST.INT.ARVL,3784000,4070000,4643000,5340000,..
Albania,ALB,"""International tourism, number of departures""",ST.INT.DPRT,4504000,4852000,5186000,5415000,..
Albania,ALB,"""Population density (people per sq. km of land area)""",EN.POP.DNST,105.135146,104.9671898,104.8706934,104.6122628,..
Albania,ALB,"""Population in urban agglomerations of more than 1 million""",EN.URB.MCTY,..,..,..,..,..
Albania,ALB,"""Population ages 0-14, female""",SP.POP.0014.FE.IN,252745,248337,243452,238481,..
Albania,ALB,"""Population ages 0-14, male""",SP.POP.0014.MA.IN,285043,280418,274603,268103,..
Albania,ALB,"""Population ages 15-64, female""",SP.POP.1564.FE.IN,972981,969484,967394,963389,..
Albania,ALB,"""Population ages 15-64, male""",SP.POP.1564.MA.IN,1006194,1005250,1005023,1002443,..
Albania,ALB,"""Population ages 65 and above, male""",SP.POP.65UP.MA.IN,175220,179619,184503,189497,..
Albania,ALB,"""Population ages 65 and above, female""",SP.POP.65UP.FE.IN,188520,192992,198481,204463,..
Albania,ALB,"""Population, female""",SP.POP.TOTL.FE.IN,1414246,1410814,1409327,1406333,..
Albania,ALB,"""Population, male""",SP.POP.TOTL.MA.IN,1466457,1465287,1464130,1460043,..
Albania,ALB,"""Population, total""",SP.POP.TOTL,2880703,2876101,2873457,2866376,..
Algeria,DZA,"""Poverty headcount ratio at national poverty lines (% of population)""",SI.POV.NAHC,..,..,..,..,..
