dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018
11/04/2020,11,4,2020,37,0,Afghanistan,AF,AFG,37172386
10/04/2020,10,4,2020,61,1,Afghanistan,AF,AFG,37172386
9/04/2020,9,4,2020,56,3,Afghanistan,AF,AFG,37172386
8/04/2020,8,4,2020,30,4,Afghanistan,AF,AFG,37172386
7/04/2020,7,4,2020,38,0,Afghanistan,AF,AFG,37172386
6/04/2020,6,4,2020,29,2,Afghanistan,AF,AFG,37172386
5/04/2020,5,4,2020,35,1,Afghanistan,AF,AFG,37172386
4/04/2020,4,4,2020,0,0,Afghanistan,AF,AFG,37172386
3/04/2020,3,4,2020,43,0,Afghanistan,AF,AFG,37172386
2/04/2020,2,4,2020,26,0,Afghanistan,AF,AFG,37172386
1/04/2020,1,4,2020,25,0,Afghanistan,AF,AFG,37172386
31/03/2020,31,3,2020,27,0,Afghanistan,AF,AFG,37172386
30/03/2020,30,3,2020,8,1,Afghanistan,AF,AFG,37172386
29/03/2020,29,3,2020,15,1,Afghanistan,AF,AFG,37172386
28/03/2020,28,3,2020,16,1,Afghanistan,AF,AFG,37172386
27/03/2020,27,3,2020,0,0,Afghanistan,AF,AFG,37172386
26/03/2020,26,3,2020,33,0,Afghanistan,AF,AFG,37172386
25/03/2020,25,3,2020,2,0,Afghanistan,AF,AFG,37172386
24/03/2020,24,3,2020,6,1,Afghanistan,AF,AFG,37172386
23/03/2020,23,3,2020,10,0,Afghanistan,AF,AFG,37172386
22/03/2020,22,3,2020,0,0,Afghanistan,AF,AFG,37172386
21/03/2020,21,3,2020,2,0,Afghanistan,AF,AFG,37172386
20/03/2020,20,3,2020,0,0,Afghanistan,AF,AFG,37172386
19/03/2020,19,3,2020,0,0,Afghanistan,AF,AFG,37172386
18/03/2020,18,3,2020,1,0,Afghanistan,AF,AFG,37172386
17/03/2020,17,3,2020,5,0,Afghanistan,AF,AFG,37172386
16/03/2020,16,3,2020,6,0,Afghanistan,AF,AFG,37172386
15/03/2020,15,3,2020,3,0,Afghanistan,AF,AFG,37172386
11/03/2020,11,3,2020,3,0,Afghanistan,AF,AFG,37172386
8/03/2020,8,3,2020,3,0,Afghanistan,AF,AFG,37172386
2/03/2020,2,3,2020,0,0,Afghanistan,AF,AFG,37172386
1/03/2020,1,3,2020,0,0,Afghanistan,AF,AFG,37172386
29/02/2020,29,2,2020,0,0,Afghanistan,AF,AFG,37172386
28/02/2020,28,2,2020,0,0,Afghanistan,AF,AFG,37172386
27/02/2020,27,2,2020,0,0,Afghanistan,AF,AFG,37172386
26/02/2020,26,2,2020,0,0,Afghanistan,AF,AFG,37172386
25/02/2020,25,2,2020,1,0,Afghanistan,AF,AFG,37172386
24/02/2020,24,2,2020,0,0,Afghanistan,AF,AFG,37172386
23/02/2020,23,2,2020,0,0,Afghanistan,AF,AFG,37172386
22/02/2020,22,2,2020,0,0,Afghanistan,AF,AFG,37172386
