Suburb,Median,Address,Land_Area,Price
Albany,"$934,050","68/17 Georgia Terrace, Albany, Auckland, 632",-,"$658,000"
Albany,"$934,050","5 Adelphi Place, Albany, Auckland, 632",535 m2,"$1,230,000"
Albany,"$934,050","6 Agnew Place, Albany, Auckland, 632",645 m2,"$1,250,000"
Albany,"$934,050","6/61 The Avenue, Albany, Auckland, 632",-,"$810,000"
Albany,"$934,050","20 Adelphi Place, Albany, Auckland, 632",552 m2,"$1,295,000"
Albany,"$934,050","15/5 Carolina Place, Albany, Auckland, 632",-,"$590,000"
Albany,"$934,050","7 Northwood Avenue, Albany, Auckland, 632",726 m2,"$1,525,000"
Albany,"$934,050","13/5 Carolina Place, Albany, Auckland, 632",-,"$435,000"
Albany,"$934,050","20 Syracuse Place, Albany, Auckland, 632",649 m2,"$1,480,000"
Albany,"$934,050","19A/210 Dairy Flat Highway, Albany, Auckland, 632",-,"$282,500"
Albany,"$934,050","68/17 Georgia Terrace, Albany, Auckland, 632",-,"$658,000"
Albany,"$934,050","5 Adelphi Place, Albany, Auckland, 632",535 m2,"$1,230,000"
Albany,"$934,050","6 Agnew Place, Albany, Auckland, 632",645 m2,"$1,250,000"
Albany,"$934,050","6/61 The Avenue, Albany, Auckland, 632",-,"$810,000"
Albany,"$934,050","20 Adelphi Place, Albany, Auckland, 632",552 m2,"$1,295,000"
Albany,"$934,050","15/5 Carolina Place, Albany, Auckland, 632",-,"$590,000"
Albany,"$934,050","7 Northwood Avenue, Albany, Auckland, 632",726 m2,"$1,525,000"
Albany,"$934,050","13/5 Carolina Place, Albany, Auckland, 632",-,"$435,000"
Albany,"$934,050","20 Syracuse Place, Albany, Auckland, 632",649 m2,"$1,480,000"
Albany,"$934,050","19A/210 Dairy Flat Highway, Albany, Auckland, 632",-,"$282,500"
Albany,"$934,050","68/17 Georgia Terrace, Albany, Auckland, 632",-,"$658,000"
Albany,"$934,050","5 Adelphi Place, Albany, Auckland, 632",535 m2,"$1,230,000"
Albany,"$934,050","6 Agnew Place, Albany, Auckland, 632",645 m2,"$1,250,000"
Albany,"$934,050","6/61 The Avenue, Albany, Auckland, 632",-,"$810,000"
Albany,"$934,050","20 Adelphi Place, Albany, Auckland, 632",552 m2,"$1,295,000"
Albany,"$934,050","15/5 Carolina Place, Albany, Auckland, 632",-,"$590,000"
Albany,"$934,050","7 Northwood Avenue, Albany, Auckland, 632",726 m2,"$1,525,000"
Albany,"$934,050","13/5 Carolina Place, Albany, Auckland, 632",-,"$435,000"
Albany,"$934,050","20 Syracuse Place, Albany, Auckland, 632",649 m2,"$1,480,000"
Albany,"$934,050","19A/210 Dairy Flat Highway, Albany, Auckland, 632",-,"$282,500"
Albany,"$934,050","68/17 Georgia Terrace, Albany, Auckland, 632",-,"$658,000"
Albany,"$934,050","5 Adelphi Place, Albany, Auckland, 632",535 m2,"$1,230,000"
Albany,"$934,050","6 Agnew Place, Albany, Auckland, 632",645 m2,"$1,250,000"
Albany,"$934,050","6/61 The Avenue, Albany, Auckland, 632",-,"$810,000"
Albany,"$934,050","20 Adelphi Place, Albany, Auckland, 632",552 m2,"$1,295,000"
Albany,"$934,050","15/5 Carolina Place, Albany, Auckland, 632",-,"$590,000"
Albany,"$934,050","7 Northwood Avenue, Albany, Auckland, 632",726 m2,"$1,525,000"
Albany,"$934,050","13/5 Carolina Place, Albany, Auckland, 632",-,"$435,000"
Albany,"$934,050","20 Syracuse Place, Albany, Auckland, 632",649 m2,"$1,480,000"
Albany,"$934,050","19A/210 Dairy Flat Highway, Albany, Auckland, 632",-,"$282,500"
Albany,"$934,050","68/17 Georgia Terrace, Albany, Auckland, 632",-,"$658,000"
Albany,"$934,050","5 Adelphi Place, Albany, Auckland, 632",535 m2,"$1,230,000"
Albany,"$934,050","6 Agnew Place, Albany, Auckland, 632",645 m2,"$1,250,000"
Albany,"$934,050","6/61 The Avenue, Albany, Auckland, 632",-,"$810,000"
Albany,"$934,050","20 Adelphi Place, Albany, Auckland, 632",552 m2,"$1,295,000"
Albany,"$934,050","15/5 Carolina Place, Albany, Auckland, 632",-,"$590,000"
Albany,"$934,050","7 Northwood Avenue, Albany, Auckland, 632",726 m2,"$1,525,000"
Albany,"$934,050","13/5 Carolina Place, Albany, Auckland, 632",-,"$435,000"
Albany,"$934,050","20 Syracuse Place, Albany, Auckland, 632",649 m2,"$1,480,000"
Albany,"$934,050","19A/210 Dairy Flat Highway, Albany, Auckland, 632",-,"$282,500"
Albany,"$934,050","68/17 Georgia Terrace, Albany, Auckland, 632",-,"$658,000"
Albany,"$934,050","5 Adelphi Place, Albany, Auckland, 632",535 m2,"$1,230,000"
Albany,"$934,050","6 Agnew Place, Albany, Auckland, 632",645 m2,"$1,250,000"
Albany,"$934,050","6/61 The Avenue, Albany, Auckland, 632",-,"$810,000"
